"","n=","156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","p=","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rang","Entrainement ","","","","","","","Y","","","","","(X'X)^{-1}","","","","","","","","","","","","Ŷ","Résidus","","","Durbin-Watson test","","","","QQ-plot","","","",""
"1","1","1.340","1.587","0.986","0.596","0.153","0.393","7.769","","","","","1.033","0.046","-0.102","-0.051","-0.026","-0.131","0.019","","","","","","7.005","0.764","","","","","","","","","","",""
"2","1","1.383","1.573","0.996","0.592","0.252","0.410","7.600","","","","","0.046","0.167","-0.073","-0.158","0.007","0.053","-0.072","","","","","","7.093","0.507","","","(Résidus_(i) - Résidus_(i-1))²","","","","Rang","Probabilité","Quantiles","Résidus",""
